kmeans_cluster,dbscan_cluster,calculated_RUL_tons,RUL_Class
3,3,59263,Healthy
2,0,59247,Healthy
0,0,59240,Healthy
0,0,59240,Healthy
0,0,59233,Medium
0,0,59219,Medium
2,0,59208,Healthy
2,0,59198,Healthy
0,0,59192,Healthy
0,0,59170,Healthy
0,0,59135,Healthy
0,0,59133,Healthy
0,0,59124,Low
0,0,59107,Healthy
3,2,59103,Healthy
0,0,59101,Healthy
2,0,59084,Healthy
0,0,59074,Healthy
0,0,59074,Healthy
0,0,59064,Medium
0,0,59050,Medium
2,0,59042,Healthy
2,0,59035,Healthy
0,0,59022,Healthy
2,0,59004,Healthy
0,0,58977,Healthy
0,0,58976,Healthy
2,0,58960,Low
0,0,58950,Healthy
3,3,58942,Healthy
2,0,58935,Healthy
0,0,58921,Healthy
0,0,58911,Healthy
0,0,58911,Healthy
0,0,58894,Medium
0,0,58887,Medium
2,5,58879,Healthy
2,0,58872,Healthy
0,0,58856,Healthy
0,0,58844,Healthy
0,0,58823,Healthy
0,0,58819,Healthy
2,0,58796,Low
0,0,58781,Healthy
0,0,58781,Healthy
3,3,58772,Healthy
0,0,58761,Healthy
0,0,58739,Healthy
0,0,58739,Healthy
2,0,58733,Medium
0,0,58723,Medium
2,0,58715,Healthy
2,5,58712,Healthy
2,0,58693,Healthy
0,0,58678,Healthy
0,0,58659,Healthy
0,0,58656,Healthy
0,-1,58650,Healthy
2,0,58633,Low
0,0,58615,Healthy
3,2,58614,Healthy
0,0,58612,Healthy
0,0,58572,Healthy
0,0,58572,Healthy
0,0,58570,Medium
0,0,58557,Medium
2,0,58552,Healthy
0,0,58543,Healthy
0,0,58530,Healthy
2,0,58514,Healthy
0,0,58499,Healthy
0,0,58496,Healthy
0,0,58484,Medium
2,0,58469,Low
3,3,58450,Healthy
2,0,58445,Healthy
0,0,58440,Healthy
2,-1,58417,Healthy
2,0,58409,Healthy
2,0,58409,Healthy
0,0,58404,Medium
0,0,58391,Medium
2,0,58383,Healthy
2,0,58363,Healthy
0,0,58354,Healthy
0,0,58339,Healthy
0,0,58333,Healthy
0,0,58324,Medium
2,0,58312,Low
3,3,58291,Healthy
2,0,58285,Healthy
2,0,58279,Healthy
2,0,58258,Healthy
0,-1,58237,Healthy
0,-1,58237,Medium
0,0,58234,Medium
2,0,58219,Healthy
2,0,58218,Medium
0,0,58197,Healthy
0,0,58191,Healthy
0,0,58175,Healthy
0,0,58167,Healthy
0,0,58161,Medium
2,0,58155,Low
3,2,58129,Healthy
0,0,58128,Healthy
2,0,58116,Medium
2,0,58097,Healthy
0,0,58071,Medium
